Country or area name,Abbrevation,Region
Denmark,DNK,WESTERN EUROPE                     
Djibouti,DJI,SUB-SAHARAN AFRICA                 
Dominica,DMA,LATIN AMER. & CARIB    
Dominican Republic,DOM,LATIN AMER. & CARIB    
Ecuador,ECU,LATIN AMER. & CARIB    
Egypt,EGY,NORTHERN AFRICA                    
El Salvador,SLV,LATIN AMER. & CARIB    
Equatorial Guinea,GNQ,SUB-SAHARAN AFRICA                 
Eritrea,ERI,SUB-SAHARAN AFRICA                 
Estonia,EST,BALTICS                            
Ethiopia,ETH,SUB-SAHARAN AFRICA                 
Faeroe Islands,FRO,WESTERN EUROPE                     
Fiji,FJI,OCEANIA                            
Finland,FIN,WESTERN EUROPE                     
France,FRA,WESTERN EUROPE                     
French Guiana,GUF,LATIN AMER. & CARIB    
French Polynesia,PYF,OCEANIA                            
Gabon,GAB,SUB-SAHARAN AFRICA                 
Gambia,GMB,SUB-SAHARAN AFRICA                 
Georgia,GEO,C.W. OF IND. STATES 
Germany,DEU,WESTERN EUROPE                     
Ghana,GHA,SUB-SAHARAN AFRICA                 
Gibraltar,GIB,WESTERN EUROPE                     
Greece,GRC,WESTERN EUROPE                     
Greenland,GRL,NORTHERN AMERICA                   
Grenada,GRD,LATIN AMER. & CARIB    
Guadeloupe,GLP,LATIN AMER. & CARIB    
Guam,GUM,OCEANIA                            
Guatemala,GTM,LATIN AMER. & CARIB    
Guernsey,GGY,WESTERN EUROPE                     
Guinea,GIN,SUB-SAHARAN AFRICA                 
Guinea-Bissau,GNB,SUB-SAHARAN AFRICA                 
Guyana,GUY,LATIN AMER. & CARIB    
Haiti,HTI,LATIN AMER. & CARIB    
Holy See,VAT,LATIN AMER. & CARIB    
Honduras,HND,ASIA (EX. NEAR EAST)         
Hungary,HUN,EASTERN EUROPE                     
Iceland,ISL,WESTERN EUROPE                     
India,IND,ASIA (EX. NEAR EAST)         
Indonesia,IDN,ASIA (EX. NEAR EAST)         
"Iran, Islamic Republic of",IRN,ASIA (EX. NEAR EAST)         
Iraq,IRQ,NEAR EAST                          
Ireland,IRL,WESTERN EUROPE                     
Isle of Man,IMN,WESTERN EUROPE                     
Israel,ISR,NEAR EAST                          
Italy,ITA,WESTERN EUROPE                     
Jamaica,JAM,LATIN AMER. & CARIB    
Japan,JPN,ASIA (EX. NEAR EAST)         
Jersey,JEY,WESTERN EUROPE                     
Jordan,JOR,NEAR EAST                          
Kazakhstan,KAZ,C.W. OF IND. STATES 
Kenya,KEN,SUB-SAHARAN AFRICA                 
Kiribati,KIR,OCEANIA                            
"Korea, South ",KOR,ASIA (EX. NEAR EAST)         
Kyrgyzstan,KGZ,C.W. OF IND. STATES 
Lao People's Democratic Republic,LAO,ASIA (EX. NEAR EAST)         
Latvia,LVA,BALTICS                            
Lebanon,LBN,NEAR EAST                          
Lesotho,LSO,SUB-SAHARAN AFRICA                 
Liberia,LBR,SUB-SAHARAN AFRICA                 
Libyan Arab Jamahiriya,LBY,NORTHERN AFRICA                    
Liechtenstein,LIE,WESTERN EUROPE                     
Lithuania,LTU,BALTICS                            
Luxembourg,LUX,WESTERN EUROPE                     
Madagascar,MDG,SUB-SAHARAN AFRICA                 
Malawi,MWI,SUB-SAHARAN AFRICA                 
Malaysia,MYS,ASIA (EX. NEAR EAST)         
Maldives,MDV,ASIA (EX. NEAR EAST)         
Mali,MLI,SUB-SAHARAN AFRICA                 
Malta,MLT,WESTERN EUROPE                     
Marshall Islands,MHL,OCEANIA                            
Martinique,MTQ,LATIN AMER. & CARIB    
Mauritania,MRT,SUB-SAHARAN AFRICA                 
Mauritius,MUS,SUB-SAHARAN AFRICA                 
Mayotte,MYT,SUB-SAHARAN AFRICA                 
Mexico,MEX,LATIN AMER. & CARIB    
"Micronesia, Federated States of",FSM,OCEANIA                            
Moldova,MDA,C.W. OF IND. STATES 
Monaco,MCO,WESTERN EUROPE                     
Mongolia,MNG,ASIA (EX. NEAR EAST)         
Montserrat,MSR,LATIN AMER. & CARIB    
Morocco,MAR,NORTHERN AFRICA                    
Mozambique,MOZ,SUB-SAHARAN AFRICA                 
Namibia,NAM,SUB-SAHARAN AFRICA                 
Nauru,NRU,OCEANIA                            
Nepal,NPL,ASIA (EX. NEAR EAST)         
Netherlands,NLD,WESTERN EUROPE                     
Netherlands Antilles,ANT,LATIN AMER. & CARIB    
New Caledonia,NCL,OCEANIA                            
New Zealand,NZL,OCEANIA                            
Nicaragua,NIC,LATIN AMER. & CARIB    
Niger,NER,SUB-SAHARAN AFRICA                 
Nigeria,NGA,SUB-SAHARAN AFRICA                 
Northern Mariana Islands,MNP,OCEANIA                            
Norway,NOR,WESTERN EUROPE                     
Oman,OMN,NEAR EAST                          
Pakistan,PAK,ASIA (EX. NEAR EAST)         
Palau,PLW,OCEANIA                            
Panama,PAN,LATIN AMER. & CARIB    
Papua New Guinea,PNG,OCEANIA                            
Paraguay,PRY,LATIN AMER. & CARIB    
Peru,PER,LATIN AMER. & CARIB    
Philippines,PHL,ASIA (EX. NEAR EAST)         
Pitcairn,PCN,EASTERN EUROPE                     
Poland,POL,WESTERN EUROPE                     
Portugal,PRT,WESTERN EUROPE                     
Puerto Rico,PRI,LATIN AMER. & CARIB    
Qatar,QAT,NEAR EAST                          
Reunion,REU,SUB-SAHARAN AFRICA                 
Romania,ROU,EASTERN EUROPE                     
Russian Federation,RUS,C.W. OF IND. STATES 
Rwanda,RWA,SUB-SAHARAN AFRICA                 
Saint Helena,SHN,SUB-SAHARAN AFRICA                 
Saint Kitts and Nevis,KNA,LATIN AMER. & CARIB    
Saint Lucia,LCA,LATIN AMER. & CARIB    
Saint Pierre and Miquelon,SPM,NORTHERN AMERICA                   
Saint Vincent and the Grenadines,VCT,LATIN AMER. & CARIB    
Samoa,WSM,OCEANIA                            
San Marino,SMR,WESTERN EUROPE                     
Sao Tome and Principe,STP,SUB-SAHARAN AFRICA                 
Saudi Arabia,SAU,NEAR EAST                          
Senegal,SEN,SUB-SAHARAN AFRICA                 
Serbia,SRB,EASTERN EUROPE                     
Seychelles,SYC,SUB-SAHARAN AFRICA                 
Sierra Leone,SLE,SUB-SAHARAN AFRICA                 
Singapore,SGP,ASIA (EX. NEAR EAST)         
Slovakia,SVK,EASTERN EUROPE                     
Slovenia,SVN,EASTERN EUROPE                     
Solomon Islands,SLB,OCEANIA                            
Somalia,SOM,SUB-SAHARAN AFRICA                 
South Africa,ZAF,SUB-SAHARAN AFRICA                 
Spain,ESP,WESTERN EUROPE                     
Sri Lanka,LKA,ASIA (EX. NEAR EAST)         
Sudan,SDN,SUB-SAHARAN AFRICA                 
Suriname,SUR,LATIN AMER. & CARIB    
Swaziland,SWZ,SUB-SAHARAN AFRICA                 
Sweden,SWE,WESTERN EUROPE                     
Switzerland,CHE,WESTERN EUROPE                     
Syrian Arab Republic,SYR,NEAR EAST                          
Taiwan ,TWN,ASIA (EX. NEAR EAST)         
Tajikistan,TJK,C.W. OF IND. STATES 
Thailand,THA,ASIA (EX. NEAR EAST)         
Togo,TGO,SUB-SAHARAN AFRICA                 
Tonga,TON,OCEANIA                            
Trinidad and Tobago,TTO,LATIN AMER. & CARIB    
Tunisia,TUN,NORTHERN AFRICA                    
Turkey,TUR,NEAR EAST                          
Turkmenistan,TKM,C.W. OF IND. STATES 
Turks and Caicos Islands,TCA,LATIN AMER. & CARIB    
Tuvalu,TUV,OCEANIA                            
Uganda,UGA,SUB-SAHARAN AFRICA                 
Ukraine,UKR,C.W. OF IND. STATES 
United Arab Emirates,ARE,NEAR EAST                          
United Kingdom of Great Britain and Northern Ireland,GBR,WESTERN EUROPE                     
United States of America,USA,NORTHERN AMERICA                   
United States Virgin Islands,VIR,LATIN AMER. & CARIB    
Uruguay,URY,LATIN AMER. & CARIB    
Uzbekistan,UZB,C.W. OF IND. STATES 
Vanuatu,VUT,OCEANIA                            
Venezuela (Bolivarian Republic of),VEN,LATIN AMER. & CARIB    
Viet Nam,VNM,ASIA (EX. NEAR EAST)         
Wallis and Futuna Islands,WLF,OCEANIA                            
Western Sahara,ESH,NORTHERN AFRICA                    
Yemen,YEM,NEAR EAST                          
Zambia,ZMB,SUB-SAHARAN AFRICA                 
Zimbabwe,ZWE,SUB-SAHARAN AFRICA                 
NA,NA,NA
